0011234567891,		,	1	,		,		12312310	,	254312310
0011234567892,		,	21  ,       ,         15648510  ,      554648510
0011234567893,		,	3   ,       ,         12524810  ,      254524810
0011234567894,		,	4	,	1   ,        12312311   ,     254312311
0011234567895,		,	1   ,       ,         15648511  ,      554648511
0011234567896,      ,     1 ,       ,           12524811,        254524811
0011234567897,      ,     12,       ,           12312312,        254312312
0011234567898,      ,     1 ,       ,           15648512,        554648512
0011234567899,      ,     1 ,       ,           12524812,        254524812
0021234567890,      ,     1 ,       ,           12312313,        254312313
0021234567892,      ,     1 ,       ,           15648513,        554648513
0021234567893,      ,     1 ,       ,           12524813,        254524813
0021234567894,      ,     13,       ,           12312314,        254312314
0021234567895,      ,     1 ,       ,           15648514,        554648514
0021234567896,      ,     15,       ,           12524814,        254524814
0021234567897,      ,     1 ,       ,           12312315,        254312315
0021234567898,	0   ,    1	,	0   ,        15648515   ,     554648515
0021234567899,      ,     16,       ,           12524815,        254524815
0021234567890,      ,     1 ,       ,           12312316,        254312316
0031234567891,      ,     1 ,       ,           15648516,        554648516
0031234567892,      ,     1 ,       ,           12524816,        254524816
0031234567893,      ,     18,       ,           12312317,        254312317
0031234567894,      ,     1 ,       ,           15648517,        554648517
0031234567895,      ,     1 ,       ,           12524817,        254524817
0031234567896,      ,     1 ,       ,           12312318,        254312318
0031234567897,      ,     1 ,       ,           15648518,        554648518
0031234567898,	1   ,    19	,	0	,	    12524818    ,    254524818
0031234567899,      ,     1 ,       ,           12312319,        254312319
0031234567890,      ,     1 ,       ,           15648519,        554648519
0041234567891,      ,     11,       ,           12524819,        254524819
